Date,Close
5/29/15,"$2,107.39 "
6/1/15,"$2,111.73 "
6/2/15,"$2,109.60 "
6/3/15,"$2,114.07 "
6/4/15,"$2,095.84 "
6/5/15,"$2,092.83 "
6/8/15,"$2,079.28 "
6/9/15,"$2,080.15 "
6/10/15,"$2,105.20 "
6/11/15,"$2,108.86 "
6/12/15,"$2,094.11 "
6/15/15,"$2,084.43 "
6/16/15,"$2,096.29 "
6/17/15,"$2,100.44 "
6/18/15,"$2,121.24 "
6/19/15,"$2,109.99 "
6/22/15,"$2,122.85 "
6/23/15,"$2,124.20 "
6/24/15,"$2,108.58 "
6/25/15,"$2,102.31 "
6/26/15,"$2,101.49 "
6/29/15,"$2,057.64 "
6/30/15,"$2,063.11 "
7/1/15,"$2,077.42 "
7/2/15,"$2,076.78 "
7/6/15,"$2,068.76 "
7/7/15,"$2,081.34 "
7/8/15,"$2,046.68 "
7/9/15,"$2,051.31 "
7/10/15,"$2,076.62 "
7/13/15,"$2,099.60 "
7/14/15,"$2,108.96 "
7/15/15,"$2,107.40 "
7/16/15,"$2,124.29 "
7/17/15,"$2,126.64 "
7/20/15,"$2,128.28 "
7/21/15,"$2,119.21 "
7/22/15,"$2,114.15 "
7/23/15,"$2,102.15 "
7/24/15,"$2,079.65 "
7/27/15,"$2,067.64 "
7/28/15,"$2,093.25 "
7/29/15,"$2,108.57 "
7/30/15,"$2,108.63 "
7/31/15,"$2,103.84 "
8/3/15,"$2,098.04 "
8/4/15,"$2,093.32 "
8/5/15,"$2,099.84 "
8/6/15,"$2,083.56 "
8/7/15,"$2,077.57 "
8/10/15,"$2,104.18 "
8/11/15,"$2,084.07 "
8/12/15,"$2,086.05 "
8/13/15,"$2,083.39 "
8/14/15,"$2,091.54 "
8/17/15,"$2,102.44 "
8/18/15,"$2,096.92 "
8/19/15,"$2,079.61 "
8/20/15,"$2,035.73 "
8/21/15,"$1,970.89 "
8/24/15,"$1,893.21 "
8/25/15,"$1,867.61 "
8/26/15,"$1,940.51 "
8/27/15,"$1,987.66 "
8/28/15,"$1,988.87 "
8/31/15,"$1,972.18 "
9/1/15,"$1,913.85 "
9/2/15,"$1,948.86 "
9/3/15,"$1,951.13 "
9/4/15,"$1,921.22 "
9/8/15,"$1,969.41 "
9/9/15,"$1,942.04 "
9/10/15,"$1,952.29 "
9/11/15,"$1,961.05 "
9/14/15,"$1,953.03 "
9/15/15,"$1,978.09 "
9/16/15,"$1,995.31 "
9/17/15,"$1,990.20 "
9/18/15,"$1,958.03 "
9/21/15,"$1,966.97 "
9/22/15,"$1,942.74 "
9/23/15,"$1,938.76 "
9/24/15,"$1,932.24 "
9/25/15,"$1,931.34 "
9/28/15,"$1,881.77 "
9/29/15,"$1,884.09 "
9/30/15,"$1,920.03 "
10/1/15,"$1,923.82 "
10/2/15,"$1,951.36 "
10/5/15,"$1,987.05 "
10/6/15,"$1,979.92 "
10/7/15,"$1,995.83 "
10/8/15,"$2,013.43 "
10/9/15,"$2,014.89 "
10/12/15,"$2,017.46 "
10/13/15,"$2,003.69 "
10/14/15,"$1,994.24 "
10/15/15,"$2,023.86 "
10/16/15,"$2,033.11 "
10/19/15,"$2,033.66 "
10/20/15,"$2,030.77 "
10/21/15,"$2,018.94 "
10/22/15,"$2,052.51 "
10/23/15,"$2,075.15 "
10/26/15,"$2,071.18 "
10/27/15,"$2,065.89 "
10/28/15,"$2,090.35 "
10/29/15,"$2,089.41 "
10/30/15,"$2,079.36 "
11/2/15,"$2,104.05 "
11/3/15,"$2,109.79 "
11/4/15,"$2,102.31 "
11/5/15,"$2,099.93 "
11/6/15,"$2,099.20 "
11/9/15,"$2,078.58 "
11/10/15,"$2,081.72 "
11/11/15,"$2,075.00 "
11/12/15,"$2,045.97 "
11/13/15,"$2,023.04 "
11/16/15,"$2,053.19 "
11/17/15,"$2,050.44 "
11/18/15,"$2,083.58 "
11/19/15,"$2,081.24 "
11/20/15,"$2,089.17 "
11/23/15,"$2,086.59 "
11/24/15,"$2,089.14 "
11/25/15,"$2,088.87 "
11/27/15,"$2,090.11 "
11/30/15,"$2,080.41 "
12/1/15,"$2,102.63 "
12/2/15,"$2,079.51 "
12/3/15,"$2,049.62 "
12/4/15,"$2,091.69 "
12/7/15,"$2,077.07 "
12/8/15,"$2,063.59 "
12/9/15,"$2,047.62 "
12/10/15,"$2,052.23 "
12/11/15,"$2,012.37 "
12/14/15,"$2,021.94 "
12/15/15,"$2,043.41 "
